Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2007/01/03,SPY,SPY,S,CBOE,602
2007/01/04,SPY,SPY,S,CBOE,15813
2007/01/05,SPY,SPY,S,CBOE,692
2007/01/08,SPY,SPY,S,CBOE,2168
2007/01/09,SPY,SPY,S,CBOE,5623
2007/01/10,SPY,SPY,S,CBOE,10968
2007/01/11,SPY,SPY,S,CBOE,1297
2007/01/12,SPY,SPY,S,CBOE,4472
2007/01/16,SPY,SPY,S,CBOE,571
2007/01/17,SPY,SPY,S,CBOE,1844
2007/01/18,SPY,SPY,S,CBOE,659
2007/01/19,SPY,SPY,S,CBOE,76
2007/01/22,SPY,SPY,S,CBOE,68
2007/01/23,SPY,SPY,S,CBOE,249
2007/01/24,SPY,SPY,S,CBOE,1064
2007/01/25,SPY,SPY,S,CBOE,2002
2007/01/26,SPY,SPY,S,CBOE,2311
2007/01/29,SPY,SPY,S,CBOE,1683
2007/01/30,SPY,SPY,S,CBOE,259
2007/01/31,SPY,SPY,S,CBOE,1751
2007/02/01,SPY,SPY,S,CBOE,974
2007/02/02,SPY,SPY,S,CBOE,8
2007/02/05,SPY,SPY,S,CBOE,127
2007/02/06,SPY,SPY,S,CBOE,116
2007/02/07,SPY,SPY,S,CBOE,1963
2007/02/08,SPY,SPY,S,CBOE,51
2007/02/09,SPY,SPY,S,CBOE,1303
2007/02/12,SPY,SPY,S,CBOE,11620
2007/02/13,SPY,SPY,S,CBOE,2385
2007/02/14,SPY,SPY,S,CBOE,769
2007/02/15,SPY,SPY,S,CBOE,1200
2007/02/16,SPY,SPY,S,CBOE,800
2007/02/20,SPY,SPY,S,CBOE,6561
2007/02/21,SPY,SPY,S,CBOE,2196
2007/02/22,SPY,SPY,S,CBOE,59
2007/02/23,SPY,SPY,S,CBOE,148
2007/02/26,SPY,SPY,S,CBOE,681
2007/02/27,SPY,SPY,S,CBOE,10442
2007/02/28,SPY,SPY,S,CBOE,17769
2007/03/01,SPY,SPY,S,CBOE,16366
2007/03/02,SPY,SPY,S,CBOE,55166
2007/03/05,SPY,SPY,S,CBOE,14990
2007/03/06,SPY,SPY,S,CBOE,15256
2007/03/07,SPY,SPY,S,CBOE,5236
2007/03/08,SPY,SPY,S,CBOE,4922
2007/03/09,SPY,SPY,S,CBOE,1933
2007/03/12,SPY,SPY,S,CBOE,130
2007/03/13,SPY,SPY,S,CBOE,7473
2007/03/14,SPY,SPY,S,CBOE,11679
2007/03/15,SPY,SPY,S,CBOE,6302
2007/03/16,SPY,SPY,S,CBOE,3107
2007/03/19,SPY,SPY,S,CBOE,22079
2007/03/20,SPY,SPY,S,CBOE,2959
2007/03/21,SPY,SPY,S,CBOE,5347
2007/03/22,SPY,SPY,S,CBOE,2981
2007/03/23,SPY,SPY,S,CBOE,7837
2007/03/26,SPY,SPY,S,CBOE,1537
2007/03/27,SPY,SPY,S,CBOE,1292
2007/03/28,SPY,SPY,S,CBOE,3536
2007/03/29,SPY,SPY,S,CBOE,743
2007/03/30,SPY,SPY,S,CBOE,1338
2007/04/02,SPY,SPY,S,CBOE,4004
2007/04/03,SPY,SPY,S,CBOE,1898
2007/04/04,SPY,SPY,S,CBOE,1730
2007/04/05,SPY,SPY,S,CBOE,2981
2007/04/09,SPY,SPY,S,CBOE,1462
2007/04/10,SPY,SPY,S,CBOE,1249
2007/04/11,SPY,SPY,S,CBOE,3026
