22:30:21 | INFO    | train_LSTM_baseline | Features: ['log_return', 'abs_return', 'oc_return', 'intraday_range', 'relative_volume_21d', 'bullish', 'bearish', 'vix', 'vix_log_change', 'vix3m_minus_vix']
22:30:21 | INFO    | train_LSTM_baseline | Target  : realized_vol_21d
22:30:21 | INFO    | train_LSTM_baseline | Split sizes — train=3710, val=1089, test=1481
22:30:21 | INFO    | train_LSTM_baseline | n_features=10 | rows — train=2034 val=1089 test=1481
22:30:21 | INFO    | train_LSTM_baseline | Starting Optuna study with 20 trials…
22:30:22 | INFO    | train_LSTM_baseline | epoch   1 | train_log_mse=5.155175 | val_mse_raw=0.00009738 | best=0.00009738
22:30:23 | INFO    | train_LSTM_baseline | epoch   2 | train_log_mse=0.206899 | val_mse_raw=0.00008530 | best=0.00008530
22:30:23 | INFO    | train_LSTM_baseline | epoch   3 | train_log_mse=0.141506 | val_mse_raw=0.00004843 | best=0.00004843
22:30:23 | INFO    | train_LSTM_baseline | epoch   4 | train_log_mse=0.126491 | val_mse_raw=0.00004410 | best=0.00004410
22:30:23 | INFO    | train_LSTM_baseline | epoch   5 | train_log_mse=0.119243 | val_mse_raw=0.00004144 | best=0.00004144
22:30:24 | INFO    | train_LSTM_baseline | epoch   6 | train_log_mse=0.117196 | val_mse_raw=0.00004130 | best=0.00004130
22:30:24 | INFO    | train_LSTM_baseline | epoch   7 | train_log_mse=0.115783 | val_mse_raw=0.00004084 | best=0.00004084
22:30:24 | INFO    | train_LSTM_baseline | epoch   8 | train_log_mse=0.114799 | val_mse_raw=0.00004045 | best=0.00004045
22:30:25 | INFO    | train_LSTM_baseline | epoch   9 | train_log_mse=0.115069 | val_mse_raw=0.00004034 | best=0.00004034
22:30:25 | INFO    | train_LSTM_baseline | epoch  10 | train_log_mse=0.113514 | val_mse_raw=0.00004089 | best=0.00004034
22:30:25 | INFO    | train_LSTM_baseline | epoch  11 | train_log_mse=0.115802 | val_mse_raw=0.00004054 | best=0.00004034
22:30:26 | INFO    | train_LSTM_baseline | epoch  12 | train_log_mse=0.112830 | val_mse_raw=0.00003982 | best=0.00003982
22:30:26 | INFO    | train_LSTM_baseline | epoch  13 | train_log_mse=0.113469 | val_mse_raw=0.00003989 | best=0.00003982
22:30:26 | INFO    | train_LSTM_baseline | epoch  14 | train_log_mse=0.111598 | val_mse_raw=0.00003978 | best=0.00003978
22:30:26 | INFO    | train_LSTM_baseline | epoch  15 | train_log_mse=0.113236 | val_mse_raw=0.00003955 | best=0.00003955
