22:20:54 | INFO    | train_LSTM_baseline | Features: ['log_return', 'abs_return', 'oc_return', 'intraday_range', 'relative_volume_21d', 'bullish', 'bearish', 'p_volatile']
22:20:54 | INFO    | train_LSTM_baseline | Target  : realized_vol_21d
22:20:54 | INFO    | train_LSTM_baseline | Split sizes — train=3710, val=1089, test=1481
22:20:54 | INFO    | train_LSTM_baseline | n_features=8 | rows — train=3000 val=1089 test=1475
22:20:54 | INFO    | train_LSTM_baseline | Starting Optuna study with 20 trials…
22:20:55 | INFO    | train_LSTM_baseline | epoch   1 | train_log_mse=3.541469 | val_mse_raw=0.00004770 | best=0.00004770
22:20:55 | INFO    | train_LSTM_baseline | epoch   2 | train_log_mse=0.135014 | val_mse_raw=0.00004577 | best=0.00004577
22:20:56 | INFO    | train_LSTM_baseline | epoch   3 | train_log_mse=0.122075 | val_mse_raw=0.00004135 | best=0.00004135
22:20:56 | INFO    | train_LSTM_baseline | epoch   4 | train_log_mse=0.115391 | val_mse_raw=0.00004251 | best=0.00004135
22:20:56 | INFO    | train_LSTM_baseline | epoch   5 | train_log_mse=0.108576 | val_mse_raw=0.00004046 | best=0.00004046
22:20:57 | INFO    | train_LSTM_baseline | epoch   6 | train_log_mse=0.108190 | val_mse_raw=0.00004083 | best=0.00004046
22:20:57 | INFO    | train_LSTM_baseline | epoch   7 | train_log_mse=0.106811 | val_mse_raw=0.00004102 | best=0.00004046
22:20:58 | INFO    | train_LSTM_baseline | epoch   8 | train_log_mse=0.107226 | val_mse_raw=0.00004037 | best=0.00004037
22:20:58 | INFO    | train_LSTM_baseline | epoch   9 | train_log_mse=0.104729 | val_mse_raw=0.00004066 | best=0.00004037
22:20:58 | INFO    | train_LSTM_baseline | epoch  10 | train_log_mse=0.102508 | val_mse_raw=0.00004102 | best=0.00004037
22:20:59 | INFO    | train_LSTM_baseline | epoch  11 | train_log_mse=0.102998 | val_mse_raw=0.00004105 | best=0.00004037
22:20:59 | INFO    | train_LSTM_baseline | epoch  12 | train_log_mse=0.104812 | val_mse_raw=0.00004158 | best=0.00004037
22:20:59 | INFO    | train_LSTM_baseline | epoch  13 | train_log_mse=0.101341 | val_mse_raw=0.00004152 | best=0.00004037
22:21:00 | INFO    | train_LSTM_baseline | epoch  14 | train_log_mse=0.103089 | val_mse_raw=0.00004254 | best=0.00004037
22:21:00 | INFO    | train_LSTM_baseline | epoch  15 | train_log_mse=0.101836 | val_mse_raw=0.00004131 | best=0.00004037
